  Global optimal solution found.
  Objective value:                              60652.71
  Objective bound:                              60652.71
  Infeasibilities:                             0.3885781E-15
  Extended solver steps:                             508
  Total solver iterations:                          3932


                       Variable           Value        Reduced Cost
                         F( 51)        6018.298            0.000000
                         F( 52)        1986.552            0.000000
                         F( 53)        12517.03            0.000000
                         F( 54)        1450.708            0.000000
                         F( 55)        5539.874            0.000000
                         F( 56)        2692.549            0.000000
                         F( 57)        10813.77            0.000000
                         F( 58)        1963.154            0.000000
                         F( 59)        6926.869            0.000000
                         F( 60)        9013.569            0.000000
                         F( 61)        6725.200            0.000000
                         F( 62)        5287.225            0.000000
                         F( 63)        11064.28            0.000000
                         F( 64)        1635.362            0.000000
                         F( 65)        2034.238            0.000000
                         F( 66)        1495.100            0.000000
                         F( 67)        2807.064            0.000000
                         F( 68)        2449.646            0.000000
                         F( 69)        2455.758            0.000000
                         F( 70)        30363.77            0.000000
                         F( 71)        2221.739            0.000000
                         F( 72)        12069.84            0.000000
                         F( 73)        2111.003            0.000000
                         F( 74)        16679.13            0.000000
                         F( 75)        1148.184            0.000000
                         F( 76)        4455.131            0.000000
                         F( 77)        1821.690            0.000000
                         F( 78)        9840.927            0.000000
                         F( 79)        2229.346            0.000000
                         F( 80)        5249.200            0.000000
                         F( 81)        9833.517            0.000000
                         F( 82)        2239.172            0.000000
                         F( 83)        6594.867            0.000000
                         F( 84)        1469.931            0.000000
                         F( 85)        3300.769            0.000000
                         F( 86)        8799.721            0.000000
                         F( 87)        6867.194            0.000000
                         F( 88)        2199.347            0.000000
                         F( 89)        1855.985            0.000000
                         F( 90)        1198.292            0.000000
                         F( 91)        4752.499            0.000000
                         F( 92)        3025.257            0.000000
                         F( 93)        2062.364            0.000000
                         F( 94)        3130.597            0.000000
                         F( 95)        4519.920            0.000000
                         F( 96)        1382.095            0.000000
                         F( 97)        1535.731            0.000000
                         F( 98)        7638.454            0.000000
                         F( 99)        28585.64            0.000000
                        F( 100)        2889.523            0.000000
                        F( 101)        11926.61            0.000000
                        F( 102)        3075.890            0.000000
                        F( 103)        4128.400            0.000000
                        F( 104)        3995.985            0.000000
                        F( 105)        5157.677            0.000000
                        F( 106)        4785.805            0.000000
                        F( 107)        13777.96            0.000000
                        F( 108)        8227.292            0.000000
                        F( 109)        2105.033            0.000000
                        F( 110)        2884.583            0.000000
                        F( 111)        1378.177            0.000000
                        F( 112)        4221.223            0.000000
                        F( 113)        4406.910            0.000000
                        F( 114)        4389.202            0.000000
                          Y( 1)        1.000000            4445.678
                          Y( 2)        1.000000            5150.322
                          Y( 3)        0.000000            14024.60
                          Y( 4)        0.000000            9174.595
                          Y( 5)        0.000000            49498.81
                          Y( 6)        0.000000            27368.47
                          Y( 7)        0.000000            4986.217
                          Y( 8)        0.000000            6761.451
                          Y( 9)        1.000000            1733.993
                         Y( 10)        1.000000            1537.044
                         Y( 11)        1.000000            7729.772
                         Y( 12)        0.000000            6495.279
                         Y( 13)        0.000000            1408.211
                         Y( 14)        0.000000            1408.211
                         Y( 15)        0.000000            3361.425
                         Y( 16)        0.000000            4468.907
                         Y( 17)        0.000000            1752.689
                         Y( 18)        0.000000            8041.964
                         Y( 19)        0.000000            2783.964
                         Y( 20)        0.000000            2467.082
                         Y( 21)        0.000000            4190.784
                         Y( 22)        0.000000            5666.898
                         Y( 23)        0.000000            8509.279
                         Y( 24)        0.000000            7183.919
                         Y( 25)        0.000000            17981.75
                         Y( 26)        0.000000            2398.131
                         Y( 27)        0.000000            2965.135
                         Y( 28)        0.000000            5790.310
                         Y( 29)        0.000000            1773.485
                         Y( 30)        0.000000            3795.178
                         Y( 31)        0.000000            4087.423
                         Y( 32)        0.000000            4804.810
                         Y( 33)        0.000000            2014.823
                         Y( 34)        0.000000            3728.630
                         Y( 35)        0.000000            25362.99
                         Y( 36)        0.000000            3100.571
                         Y( 37)        0.000000            3218.629
                         Y( 38)        0.000000            2672.764
                         Y( 39)        0.000000            10098.89
                         Y( 40)        1.000000            985.1523
                         Y( 41)        0.000000            20940.71
                         Y( 42)        0.000000            1659.609
                         Y( 43)        0.000000            9036.949
                         Y( 44)        0.000000            4797.555
                         Y( 45)        0.000000            17983.13
                         Y( 46)        0.000000            8057.952
                         Y( 47)        0.000000            5261.830
                         Y( 48)        0.000000            20806.53
                         Y( 49)        0.000000            2656.773
                         Y( 50)        0.000000            5188.451
                         Y( 51)        0.000000            5769.479
                         Y( 52)        0.000000            1917.722
                         Y( 53)        0.000000            12108.94
                         Y( 54)        0.000000            1401.076
                         Y( 55)        1.000000            5302.757
                         Y( 56)        1.000000            2577.723
                         Y( 57)        0.000000            10575.63
                         Y( 58)        0.000000            1911.285
                         Y( 59)        0.000000            6700.831
                         Y( 60)        0.000000            8719.113
                         Y( 61)        0.000000            6453.883
                         Y( 62)        0.000000            5104.971
                         Y( 63)        0.000000            10744.26
                         Y( 64)        0.000000            1588.780
                         Y( 65)        1.000000            1953.858
                         Y( 66)        0.000000            1436.041
                         Y( 67)        0.000000            2707.418
                         Y( 68)        0.000000            2361.035
                         Y( 69)        0.000000            2386.165
